timeStamp,service,type,success,responseTime,bytes
1546447228419,/,GET,1,114.154100418,1270
1546447228419,/,GET,1,114.154100418,1270
1546447228419,/,GET,1,114.154100418,1270
1546447228419,/,GET,1,114.154100418,1270
1546447228419,/,GET,1,114.154100418,1270
1546447228419,/,GET,1,114.154100418,1270
1546447228419,/,GET,1,114.154100418,1270
1546447228419,/,GET,1,114.154100418,1270
1546447228419,/,GET,1,114.154100418,1270
1546447228419,/,GET,1,114.154100418,1270
1546447228419,/,GET,1,114.154100418,1270
1546447228419,/,GET,1,114.154100418,1270
1546447228419,/,GET,1,114.154100418,1270
1546447228419,/,GET,1,114.154100418,1270
1546447228419,/,GET,1,114.154100418,1270
1546447228419,/,GET,1,114.154100418,1270
1546447228419,/,GET,1,114.154100418,1270
1546447228419,/,GET,1,114.154100418,1270
1546447228460,/,GET,1,110.794067383,1270
1546447228460,/,GET,1,110.794067383,1270
1546447228460,/,GET,1,110.794067383,1270
1546447228460,/,GET,1,110.794067383,1270
1546447228460,/,GET,1,110.794067383,1270
1546447228460,/,GET,1,110.794067383,1270
1546447228460,/,GET,1,110.794067383,1270
1546447228460,/,GET,1,110.794067383,1270
1546447228460,/,GET,1,110.794067383,1270
1546447228460,/,GET,1,110.794067383,1270
1546447228460,/,GET,1,110.794067383,1270
1546447228460,/,GET,1,110.794067383,1270
1546447228460,/,GET,1,110.794067383,1270
1546447228460,/,GET,1,110.794067383,1270
1546447228460,/,GET,1,110.794067383,1270
1546447228460,/,GET,1,110.794067383,1270
1546447228460,/,GET,1,110.794067383,1270
1546447228460,/,GET,1,110.794067383,1270
1546447228460,/,GET,1,110.794067383,1270
1546447228460,/,GET,1,110.794067383,1270
1546447228460,/,GET,1,110.794067383,1270
1546447228460,/,GET,1,110.794067383,1270
1546447228460,/,GET,1,110.794067383,1270
1546447228460,/,GET,1,110.794067383,1270
1546447228460,/,GET,1,110.794067383,1270
1546447228460,/,GET,1,110.794067383,1270
1546447228460,/,GET,1,110.794067383,1270
1546447228460,/,GET,1,110.794067383,1270
1546447228460,/,GET,1,110.794067383,1270
1546447228460,/,GET,1,110.794067383,1270
1546447228460,/,GET,1,110.794067383,1270
1546447228460,/,GET,1,110.794067383,1270
1546447228460,/,GET,1,110.794067383,1270
1546447228460,/,GET,1,110.794067383,1270
1546447228460,/,GET,1,110.794067383,1270
1546447228460,/,GET,1,110.794067383,1270
1546447228460,/,GET,1,110.794067383,1270
1546447228460,/,GET,1,110.794067383,1270
1546447228460,/,GET,1,110.794067383,1270
1546447228460,/,GET,1,110.794067383,1270
1546447228460,/,GET,1,110.794067383,1270
1546447228460,/,GET,1,110.794067383,1270
1546447228460,/,GET,1,110.794067383,1270
1546447228460,/,GET,1,110.794067383,1270
1546447228460,/,GET,1,110.794067383,1270
1546447228460,/,GET,1,110.794067383,1270
1546447228460,/,GET,1,110.794067383,1270
1546447228460,/,GET,1,110.794067383,1270
1546447228460,/,GET,1,110.794067383,1270
1546447228460,/,GET,1,110.794067383,1270
1546447228460,/,GET,1,110.794067383,1270
1546447228460,/,GET,1,110.794067383,1270
1546447228460,/,GET,1,110.794067383,1270
1546447228461,/,GET,1,110.794067383,1270
1546447228461,/,GET,1,110.794067383,1270
1546447228461,/,GET,1,110.794067383,1270
1546447228461,/,GET,1,110.794067383,1270
1546447228461,/,GET,1,110.794067383,1270
1546447228461,/,GET,1,110.794067383,1270
1546447228538,/,GET,1,117.548942566,1270
1546447228538,/,GET,1,117.548942566,1270
1546447228538,/,GET,1,117.548942566,1270
1546447228538,/,GET,1,117.548942566,1270
1546447228538,/,GET,1,117.548942566,1270
1546447228538,/,GET,1,117.548942566,1270
1546447228538,/,GET,1,117.548942566,1270
1546447228538,/,GET,1,117.548942566,1270
1546447228538,/,GET,1,117.548942566,1270
1546447228538,/,GET,1,117.548942566,1270
1546447228538,/,GET,1,117.548942566,1270
1546447228538,/,GET,1,117.548942566,1270
1546447228538,/,GET,1,117.548942566,1270
1546447228538,/,GET,1,117.548942566,1270
1546447228538,/,GET,1,117.548942566,1270
1546447228538,/,GET,1,117.548942566,1270
1546447228538,/,GET,1,117.548942566,1270
1546447228538,/,GET,1,117.548942566,1270
1546447228538,/,GET,1,117.548942566,1270
1546447228538,/,GET,1,117.548942566,1270
1546447228538,/,GET,1,117.548942566,1270
1546447228538,/,GET,1,117.548942566,1270
1546447228538,/,GET,1,117.548942566,1270
1546447228538,/,GET,1,117.548942566,1270
1546447228538,/,GET,1,117.548942566,1270
1546447228538,/,GET,1,117.548942566,1270
1546447228538,/,GET,1,117.548942566,1270
1546447228538,/,GET,1,117.548942566,1270
1546447228538,/,GET,1,117.548942566,1270
1546447228538,/,GET,1,117.548942566,1270
1546447228538,/,GET,1,117.548942566,1270
1546447228538,/,GET,1,117.548942566,1270
1546447228538,/,GET,1,117.548942566,1270
1546447228538,/,GET,1,117.548942566,1270
1546447228538,/,GET,1,117.548942566,1270
1546447228538,/,GET,1,117.548942566,1270
1546447228538,/,GET,1,117.548942566,1270
1546447228538,/,GET,1,117.548942566,1270
1546447228538,/,GET,1,117.548942566,1270
1546447228538,/,GET,1,117.548942566,1270
1546447228538,/,GET,1,117.548942566,1270
1546447228538,/,GET,1,117.548942566,1270
1546447228538,/,GET,1,117.548942566,1270
1546447228538,/,GET,1,117.548942566,1270
1546447228538,/,GET,1,117.548942566,1270
1546447228538,/,GET,1,117.548942566,1270
1546447228539,/,GET,1,117.548942566,1270
1546447228539,/,GET,1,117.548942566,1270
1546447228539,/,GET,1,117.548942566,1270
1546447228539,/,GET,1,117.548942566,1270
1546447228539,/,GET,1,117.548942566,1270
1546447228539,/,GET,1,117.548942566,1270
1546447228539,/,GET,1,117.548942566,1270
1546447228539,/,GET,1,117.548942566,1270
1546447228539,/,GET,1,117.548942566,1270
1546447228539,/,GET,1,117.548942566,1270
1546447228539,/,GET,1,117.548942566,1270
1546447228539,/,GET,1,117.548942566,1270
1546447228539,/,GET,1,117.548942566,1270
1546447228745,/,GET,1,116.3418293,1270
1546447228745,/,GET,1,116.3418293,1270
1546447228745,/,GET,1,116.3418293,1270
1546447228745,/,GET,1,116.3418293,1270
1546447228745,/,GET,1,116.3418293,1270
1546447228745,/,GET,1,116.3418293,1270
1546447228746,/,GET,1,116.3418293,1270
1546447228746,/,GET,1,116.3418293,1270
1546447228746,/,GET,1,116.3418293,1270
1546447228746,/,GET,1,116.3418293,1270
1546447228746,/,GET,1,116.3418293,1270
1546447228746,/,GET,1,116.3418293,1270
1546447228746,/,GET,1,116.3418293,1270
1546447228746,/,GET,1,116.3418293,1270
1546447228746,/,GET,1,116.3418293,1270
1546447228746,/,GET,1,116.3418293,1270
1546447228746,/,GET,1,116.3418293,1270
1546447228746,/,GET,1,116.3418293,1270
1546447228746,/,GET,1,116.3418293,1270
1546447228746,/,GET,1,116.3418293,1270
1546447228746,/,GET,1,116.3418293,1270
1546447228746,/,GET,1,116.3418293,1270
1546447228746,/,GET,1,116.3418293,1270
1546447228746,/,GET,1,116.3418293,1270
1546447228746,/,GET,1,116.3418293,1270
1546447228746,/,GET,1,116.3418293,1270
1546447228746,/,GET,1,116.3418293,1270
1546447228746,/,GET,1,116.3418293,1270
1546447228746,/,GET,1,116.3418293,1270
1546447228746,/,GET,1,116.3418293,1270
1546447228746,/,GET,1,116.3418293,1270
1546447228746,/,GET,1,116.3418293,1270
1546447228746,/,GET,1,116.3418293,1270
1546447228746,/,GET,1,116.3418293,1270
1546447228746,/,GET,1,116.3418293,1270
1546447228746,/,GET,1,116.3418293,1270
1546447228746,/,GET,1,116.3418293,1270
1546447228746,/,GET,1,116.3418293,1270
1546447228746,/,GET,1,116.3418293,1270
1546447228746,/,GET,1,116.3418293,1270
1546447228746,/,GET,1,116.3418293,1270
1546447228746,/,GET,1,116.3418293,1270
1546447228746,/,GET,1,116.3418293,1270
1546447228746,/,GET,1,116.3418293,1270
1546447228746,/,GET,1,116.3418293,1270
1546447228746,/,GET,1,116.3418293,1270
1546447228746,/,GET,1,116.3418293,1270
1546447228746,/,GET,1,116.3418293,1270
1546447228746,/,GET,1,116.3418293,1270
1546447228746,/,GET,1,116.3418293,1270
1546447228746,/,GET,1,116.3418293,1270
1546447228746,/,GET,1,116.3418293,1270
1546447228746,/,GET,1,116.3418293,1270
1546447228746,/,GET,1,116.3418293,1270
1546447228746,/,GET,1,116.3418293,1270
1546447228746,/,GET,1,116.3418293,1270
1546447228746,/,GET,1,116.3418293,1270
1546447228746,/,GET,1,116.3418293,1270
1546447228746,/,GET,1,116.3418293,1270
1546447228905,/,GET,1,112.543821335,1270
1546447228905,/,GET,1,112.543821335,1270
1546447228905,/,GET,1,112.543821335,1270
1546447228905,/,GET,1,112.543821335,1270
1546447228905,/,GET,1,112.543821335,1270
1546447228905,/,GET,1,112.543821335,1270
1546447228905,/,GET,1,112.543821335,1270
1546447228905,/,GET,1,112.543821335,1270
1546447228905,/,GET,1,112.543821335,1270
1546447228905,/,GET,1,112.543821335,1270
1546447228905,/,GET,1,112.543821335,1270
1546447228905,/,GET,1,112.543821335,1270
1546447228905,/,GET,1,112.543821335,1270
1546447228905,/,GET,1,112.543821335,1270
1546447228905,/,GET,1,112.543821335,1270
1546447228905,/,GET,1,112.543821335,1270
1546447228905,/,GET,1,112.543821335,1270
1546447228905,/,GET,1,112.543821335,1270
1546447228905,/,GET,1,112.543821335,1270
1546447228905,/,GET,1,112.543821335,1270
1546447228905,/,GET,1,112.543821335,1270
